price,amenities_count,ciudad,idx_original,kmeans_cluster,jer_cluster,dbscan_cluster,amenities,number_of_reviews_ltm,host_listings_count,estimated_occupancy_l365d,estimated_revenue_l365d
220.0,62,Amsterdam,2233,0,0,0,"[""Coffee"", ""Coffee maker: pour-over coffee"", ""Free dryer \u2013 In unit"", ""Books and reading material"", ""Wifi"", ""Park view"", ""Hangers"", ""Babysitter recommendations"", ""Siemens oven"", ""Hot water kettle"", ""Indoor fireplace"", ""Private backyard \u2013 Fully fenced"", ""Lockbox"", ""Shower gel"", ""Washer"", ""Siemens induction stove"", ""Wine glasses"", ""Cleaning products"", ""Weleda or similar  shampoo"", ""Hot water"", ""Bed linens"", ""Rice maker"", ""Long term stays allowed"", ""Single level home"", ""Central heating"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Dishes and silverware"", ""Blender"", ""Rich and Ecological Shower Gel body soap"", ""Self check-in"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""HDTV with Apple TV, Disney+, Netflix"", ""Baking sheet"", ""Outdoor dining area"", ""Garden view"", ""EV charger"", ""Microwave"", ""Drying rack for clothing"", ""Paid parking on premises"", ""Dedicated workspace"", ""Bathtub"", ""Siemens refrigerator"", ""Freezer"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Baby bath"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Outdoor furniture"", ""BOSE Bluetooth sound system"", ""Hammock"", ""Waterfront""]",1,2.0,24,5280.0
206.0,44,Amsterdam,2536,0,0,0,"[""Coffee"", ""Books and reading material"", ""Hangers"", ""Babysitter recommendations"", ""Hot water kettle"", ""Paid street parking off premises"", ""Clothing storage: closet and wardrobe"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Long term stays allowed"", ""Single level home"", ""Central heating"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Dishes and silverware"", ""Private patio or balcony"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Baking sheet"", ""Outdoor dining area"", ""Laundromat nearby"", ""Microwave"", ""Stove"", ""Drying rack for clothing"", ""Paid parking on premises"", ""Dedicated workspace"", ""Oven"", ""Freezer"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""Kitchen"", ""Essentials"", ""Waterfront"", ""Free washer \u2013 In unit"", ""Cleaning available during stay""]",0,1.0,0,0.0
204.0,7,Amsterdam,5623,2,0,0,"[""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Dedicated workspace"", ""Self check-in"", ""Lockbox"", ""Washer""]",0,1.0,0,0.0
395.0,45,Amsterdam,4216,1,0,0,"[""Toaster"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Indoor fireplace"", ""Pocket wifi"", ""Washer"", ""Cleaning products"", ""TV"", ""Hot water"", ""Bed linens"", ""Long term stays allowed"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Blender"", ""Fire extinguisher"", ""Body soap"", ""Laundromat nearby"", ""Trash compactor"", ""Microwave"", ""Air conditioning"", ""Stove"", ""Paid parking on premises"", ""Ethernet connection"", ""Bidet"", ""Dedicated workspace"", ""Clothing storage"", ""Freezer"", ""Oven"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Smoke alarm"", ""Refrigerator"", ""Cleaning available during stay"", ""First aid kit"", ""Kitchen"", ""Conditioner""]",0,2.0,0,0.0
350.0,28,Amsterdam,1295,1,0,0,"[""HDTV with Netflix"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Hangers"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Shampoo"", ""Coffee maker"", ""Self check-in"", ""Microwave"", ""Stove"", ""Paid parking on premises"", ""Dedicated workspace"", ""Oven"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Dishwasher"", ""Refrigerator"", ""Extra pillows and blankets"", ""Kitchen"", ""Essentials"", ""Free washer \u2013 In unit""]",6,1.0,47,16450.0
200.0,29,Amsterdam,1272,2,0,0,"[""Wifi"", ""Hangers"", ""Lockbox"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Long term stays allowed"", ""Iron"", ""Self check-in"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Dedicated workspace"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Essentials"", ""Patio or balcony""]",14,15.0,140,28000.0
105.0,28,Amsterdam,2463,2,0,0,"[""Coffee"", ""Wifi"", ""Hangers"", ""Hot water kettle"", ""Paid street parking off premises"", ""Shower gel"", ""HDTV with premium cable"", ""Lock on bedroom door"", ""Wine glasses"", ""Hot water"", ""Bed linens"", ""Long term stays allowed"", ""Central heating"", ""Room-darkening shades"", ""Dishes and silverware"", ""Shampoo"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Body soap"", ""Laundromat nearby"", ""Host greets you"", ""Dedicated workspace"", ""Hair dryer"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Essentials"", ""Waterfront"", ""Clothing storage: closet""]",72,2.0,255,26775.0
150.0,15,Amsterdam,5030,2,0,0,"[""Heating"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""TV"", ""Wifi"", ""Bed linens"", ""Hangers"", ""Kitchen"", ""Host greets you"", ""Iron"", ""Cooking basics"", ""Clothing storage"", ""Fire extinguisher"", ""Washer""]",2,7.0,16,2400.0
192.0,49,Amsterdam,1374,0,0,0,"[""Portable fans"", ""Wifi"", ""Books and reading material"", ""Hangers"", ""Hot water kettle"", ""Pocket wifi"", ""Shower gel"", ""Washer"", ""Wine glasses"", ""Dining table"", ""Private living room"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Iron"", ""Self check-in"", ""City skyline view"", ""Cooking basics"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Microwave"", ""Stove"", ""Drying rack for clothing"", ""Ethernet connection"", ""Smart lock"", ""Dedicated workspace"", ""Oven"", ""Clothing storage"", ""Freezer"", ""Mini fridge"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""AC - split type ductless system"", ""Carbon monoxide alarm"", ""Private entrance"", ""Safe"", ""Extra pillows and blankets"", ""Smoke alarm"", ""First aid kit"", ""Refrigerator"", ""Central air conditioning"", ""Kitchen"", ""Essentials"", ""Exterior security cameras on property"", ""Dryer""]",46,2.0,255,48960.0
100.0,39,Amsterdam,156,0,0,0,"[""Coffee"", ""Portable fans"", ""Wifi"", ""Books and reading material"", ""Hangers"", ""Hot water kettle"", ""Lockbox"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Iron"", ""Self check-in"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Sony sound system with aux"", ""Laundromat nearby"", ""Vinegar conditioner"", ""EV charger"", ""Drying rack for clothing"", ""Board games"", ""Amsterdamsche Zeepfabriek body soap"", ""Dedicated workspace"", ""Oven"", ""Paid parking off premises"", ""Heating"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Safe"", ""Extra pillows and blankets"", ""First aid kit"", ""Refrigerator"", ""Essentials""]",8,4.0,62,6200.0
